Date,Symbol,Open,High,Low,Close,Volume
10-06-2024,RELIANCE,2786.56,2793.2,2737.23,2757.07,7324284
11-06-2024,RELIANCE,2806.92,2828.26,2790.53,2816.66,2545669
12-06-2024,RELIANCE,2762.14,2774.38,2713.77,2745.09,8323742
13-06-2024,RELIANCE,2783.33,2826.88,2778.64,2821.7,3041362
14-06-2024,RELIANCE,2791.71,2821.64,2763.31,2814.08,6922550
15-06-2024,RELIANCE,2791.5,2795,2757.9,2758.15,4756804
16-06-2024,RELIANCE,2713.79,2724.36,2667.27,2683.71,7616722
17-06-2024,RELIANCE,2729.87,2759.84,2720.01,2736.56,5876266
18-06-2024,RELIANCE,2725.9,2733.53,2700.8,2725.21,6510730
19-06-2024,RELIANCE,2759.84,2813.56,2723.55,2736.34,8797210
20-06-2024,RELIANCE,2777.6,2778.46,2750.53,2764.24,5844346
21-06-2024,RELIANCE,2712.64,2725.03,2691.68,2700.47,2854520
22-06-2024,RELIANCE,2725.67,2765.15,2709.12,2725.85,6540162
23-06-2024,RELIANCE,2677.23,2711.6,2626.7,2698.8,2178330
24-06-2024,RELIANCE,2732.58,2740.41,2731.85,2734.34,6294720
25-06-2024,RELIANCE,2788.36,2842.7,2764.7,2827.03,5092598
26-06-2024,RELIANCE,2829.32,2833.31,2787.26,2814.98,5074997
27-06-2024,RELIANCE,2768.97,2811.39,2736.05,2800.14,8482133
28-06-2024,RELIANCE,2750.05,2750.51,2723.98,2747.86,4527440
29-06-2024,RELIANCE,2744.43,2778.51,2711.13,2759.87,1456330
30-06-2024,RELIANCE,2735.06,2777.68,2714.71,2737.53,5673675
01-07-2024,RELIANCE,2711.71,2734.05,2697.86,2730.37,1263870
02-07-2024,RELIANCE,2710.11,2726.41,2706.13,2716.04,3233881
03-07-2024,RELIANCE,2728.28,2733.49,2717.44,2723.31,7655488
04-07-2024,RELIANCE,2749.12,2783.64,2728.15,2752.78,1738148
05-07-2024,RELIANCE,2755.08,2765.47,2726.93,2759.15,1365895
06-07-2024,RELIANCE,2719.94,2736,2700.81,2719.13,4908385
07-07-2024,RELIANCE,2684.91,2737.85,2675.04,2714.67,6625876
08-07-2024,RELIANCE,2663.05,2684.3,2616.8,2648.41,9791533
09-07-2024,RELIANCE,2666.83,2704.74,2619.4,2687.63,6023591
10-07-2024,RELIANCE,2712.16,2763.85,2695.63,2727.3,4756522
11-07-2024,RELIANCE,2679.83,2700.73,2657.38,2693,9813739
12-07-2024,RELIANCE,2736.52,2749.2,2689.73,2746.16,9746885
13-07-2024,RELIANCE,2708.73,2717.72,2692.22,2708.9,7528831
14-07-2024,RELIANCE,2689.88,2728.7,2676.96,2727.05,1386484
15-07-2024,RELIANCE,2781.49,2797.87,2780.26,2791.38,1299603
16-07-2024,RELIANCE,2842.48,2893.56,2794.89,2883.68,7551213
17-07-2024,RELIANCE,2840.23,2861.89,2805.96,2825.2,3726782
18-07-2024,RELIANCE,2788.25,2822.83,2787.65,2808.47,5599750
19-07-2024,RELIANCE,2844.31,2900.48,2810.9,2872.01,1619928
20-07-2024,RELIANCE,2910.56,2923.46,2890.64,2906.21,7138472
21-07-2024,RELIANCE,2933.41,2984.48,2881.23,2887.43,8221980
22-07-2024,RELIANCE,2933.9,2966.45,2916.41,2921.35,8996156
23-07-2024,RELIANCE,2870.48,2927.01,2814.56,2898.2,2188025
24-07-2024,RELIANCE,2915.7,2958.31,2866.7,2901.98,4616364
25-07-2024,RELIANCE,2866.76,2889.57,2835.34,2857.96,7567039
26-07-2024,RELIANCE,2830.61,2885.76,2800.48,2826.83,4053698
27-07-2024,RELIANCE,2853.21,2892.7,2847.71,2882.52,1707895
28-07-2024,RELIANCE,2845.51,2892.37,2826.4,2858.16,3458200
29-07-2024,RELIANCE,2812.97,2820.54,2781.86,2801.01,4011485
30-07-2024,RELIANCE,2758.17,2761.86,2752.8,2759.77,8891785
31-07-2024,RELIANCE,2766.48,2819.52,2732.5,2774.69,3628363
01-08-2024,RELIANCE,2795.14,2846.55,2742.57,2753.82,3052247
02-08-2024,RELIANCE,2706.7,2750.38,2692.36,2724.71,2488099
03-08-2024,RELIANCE,2694.67,2732.67,2655.27,2684.83,7054435
04-08-2024,RELIANCE,2710.62,2749.15,2698.1,2732.83,6081698
05-08-2024,RELIANCE,2767.58,2785.91,2738.76,2757.78,8677068
06-08-2024,RELIANCE,2784.44,2820.24,2766.78,2809.58,3458826
07-08-2024,RELIANCE,2810.92,2819.29,2799.27,2809.88,2188280
08-08-2024,RELIANCE,2865.08,2890.21,2846.67,2867.76,7927249
09-08-2024,RELIANCE,2853.32,2863.69,2846.24,2860.49,5683607
10-08-2024,RELIANCE,2875.76,2879.44,2869.11,2875.21,4010760
11-08-2024,RELIANCE,2834.06,2853.71,2789.33,2835.93,8420953
12-08-2024,RELIANCE,2792.27,2825.28,2739.74,2793.72,7581748
13-08-2024,RELIANCE,2834.26,2852.08,2787.26,2803.26,9132849
14-08-2024,RELIANCE,2783.93,2807.71,2736.53,2746.94,5129647
15-08-2024,RELIANCE,2773.95,2783.62,2730.14,2780.82,8462179
16-08-2024,RELIANCE,2772.84,2819.31,2767.81,2800.91,6033402
17-08-2024,RELIANCE,2827.09,2842.51,2785.48,2796.44,5003958
18-08-2024,RELIANCE,2763.65,2772.24,2737.65,2738.18,9815405
19-08-2024,RELIANCE,2714.66,2751.59,2697.86,2727.66,7894373
20-08-2024,RELIANCE,2725.76,2776.51,2709.21,2740.16,9877735
21-08-2024,RELIANCE,2771.06,2815.31,2732.71,2770.99,5208954
22-08-2024,RELIANCE,2748.47,2796.92,2724.04,2776.5,8168576
23-08-2024,RELIANCE,2749.91,2753.34,2698.3,2732.38,9718442
24-08-2024,RELIANCE,2679.83,2695.85,2675.39,2679.7,6778923
25-08-2024,RELIANCE,2633.58,2648.15,2611.62,2614.82,1600316
26-08-2024,RELIANCE,2599.49,2614.6,2566.11,2579.03,3031385
27-08-2024,RELIANCE,2603.08,2615.51,2576.73,2609.33,1268455
28-08-2024,RELIANCE,2618.88,2660.58,2588.01,2606.71,8721881
29-08-2024,RELIANCE,2599.47,2604.13,2555.26,2603.88,8241501
30-08-2024,RELIANCE,2583.77,2631.99,2577.84,2584.34,6921157
31-08-2024,RELIANCE,2613.59,2642.13,2599.4,2633.3,5427609
01-09-2024,RELIANCE,2631.89,2671.53,2611.2,2611.64,4092734
02-09-2024,RELIANCE,2606.76,2615.19,2556.13,2582.03,1408348
03-09-2024,RELIANCE,2606.26,2653.59,2590.44,2607.18,7982158
04-09-2024,RELIANCE,2559.49,2567.42,2541.69,2548.06,3740142
05-09-2024,RELIANCE,2507.71,2538.12,2481.65,2510.78,6985952
06-09-2024,RELIANCE,2546.26,2558.81,2503.06,2508.46,4550895
07-09-2024,RELIANCE,2522.52,2556.59,2495.54,2532.93,1467067
08-09-2024,RELIANCE,2520.93,2533.07,2503.87,2522.76,9606093
09-09-2024,RELIANCE,2541.55,2562.11,2525.9,2544.96,5484012
10-09-2024,RELIANCE,2580.71,2594.11,2548.13,2582.77,8034970
11-09-2024,RELIANCE,2575.38,2575.9,2560.9,2568.16,7303746
12-09-2024,RELIANCE,2518.72,2543.74,2504.68,2512.95,8103539
13-09-2024,RELIANCE,2490.61,2494.9,2454.64,2463.48,4095005
14-09-2024,RELIANCE,2483.02,2501.66,2438.66,2448.53,3146605
15-09-2024,RELIANCE,2451.83,2485.84,2426.18,2483.02,3092408
16-09-2024,RELIANCE,2480.21,2525.29,2444.6,2468.99,6132780
17-09-2024,RELIANCE,2460.36,2509.34,2421.29,2461.98,4576155
18-09-2024,RELIANCE,2505.65,2534.83,2468.39,2492.27,2190423
19-09-2024,RELIANCE,2493.09,2520.86,2459.11,2508.53,9226445
20-09-2024,RELIANCE,2462.08,2487.01,2449.35,2481.32,3255435
21-09-2024,RELIANCE,2509.34,2545.97,2493.94,2535.22,7929548
22-09-2024,RELIANCE,2533.92,2547.8,2524.55,2547.03,2098954
23-09-2024,RELIANCE,2570.39,2605.56,2551.91,2554.27,6720650
24-09-2024,RELIANCE,2582.96,2633.46,2554.09,2583.22,7164471
25-09-2024,RELIANCE,2625.96,2645.16,2581.37,2593.8,8707576
26-09-2024,RELIANCE,2578.2,2618.99,2572.85,2616.8,4619587
27-09-2024,RELIANCE,2641.75,2686.75,2631.04,2638.39,6192976
28-09-2024,RELIANCE,2592.53,2598.85,2574.39,2579.71,8817330
29-09-2024,RELIANCE,2609.54,2639.03,2592.9,2617.21,7585520
30-09-2024,RELIANCE,2615.83,2624.78,2605.86,2613.9,4966336
01-10-2024,RELIANCE,2646.19,2688.31,2612.57,2620.23,6595781
02-10-2024,RELIANCE,2631.26,2647.01,2593.4,2615.78,6461705
03-10-2024,RELIANCE,2611.63,2616.65,2574.99,2610.72,3130791
04-10-2024,RELIANCE,2660.21,2673.98,2634.73,2642.94,8208147
05-10-2024,RELIANCE,2623.28,2637.75,2574.52,2631.13,8176762
06-10-2024,RELIANCE,2668.46,2711.98,2643.15,2707.18,1253741
07-10-2024,RELIANCE,2664.99,2699.78,2629.4,2672.09,6209226
08-10-2024,RELIANCE,2714.56,2717.59,2665.45,2682.14,8080497
09-10-2024,RELIANCE,2653.1,2689.19,2607.15,2664.96,3707678
10-10-2024,RELIANCE,2711.62,2738.08,2703.46,2727.22,5450083
11-10-2024,RELIANCE,2711.03,2738.22,2676.35,2720.02,2254958
12-10-2024,RELIANCE,2760.2,2812.47,2711.03,2728.2,7026593
13-10-2024,RELIANCE,2703.64,2717.11,2668.38,2714.85,2367531
14-10-2024,RELIANCE,2759.33,2787.12,2755.23,2779.88,2505856
15-10-2024,RELIANCE,2813.02,2824.59,2783.21,2809.81,8195867
16-10-2024,RELIANCE,2843.2,2895.87,2791.98,2833.35,1137962
17-10-2024,RELIANCE,2846.59,2864.22,2814.03,2835.63,7046615
18-10-2024,RELIANCE,2840.27,2855.67,2819.63,2839.12,6490185
19-10-2024,RELIANCE,2809.92,2840.18,2801.03,2819.37,3594825
20-10-2024,RELIANCE,2793.39,2840.51,2773.87,2838.31,9093935
21-10-2024,RELIANCE,2827.69,2872.34,2816.45,2836.61,7053910
22-10-2024,RELIANCE,2783.39,2807.87,2765.52,2804.47,1905119
23-10-2024,RELIANCE,2801.68,2808.45,2774.46,2775.99,4292975
24-10-2024,RELIANCE,2760.15,2800.23,2705.29,2782.46,1973851
25-10-2024,RELIANCE,2780.53,2790.71,2757.28,2789.53,5553836
26-10-2024,RELIANCE,2756.43,2793.11,2723.84,2786.77,7695506
27-10-2024,RELIANCE,2839.82,2884.26,2796.34,2853.65,7295357
28-10-2024,RELIANCE,2872.85,2881.45,2843.6,2854.92,8228750
29-10-2024,RELIANCE,2870.7,2903.46,2858.04,2879,6279215
30-10-2024,RELIANCE,2858.21,2903.52,2821.46,2890.37,3053421
31-10-2024,RELIANCE,2926.92,2937.97,2869.59,2905.74,8354859
01-11-2024,RELIANCE,2934.31,2944.07,2930.73,2940,7603883
02-11-2024,RELIANCE,2958.04,2993.25,2955.18,2977.48,5230759
03-11-2024,RELIANCE,2995.14,3021.23,2963.01,2993.35,5299135
04-11-2024,RELIANCE,2974.68,3011.83,2955.79,2978.78,9543891
05-11-2024,RELIANCE,2941.54,2951.08,2939.32,2948.8,4443723
06-11-2024,RELIANCE,2971.25,2976.25,2955.44,2960.86,6386185
07-11-2024,RELIANCE,2986.35,3031.35,2954.92,2968.52,3610684
08-11-2024,RELIANCE,2944.46,2981.82,2909.91,2953.16,3775701
09-11-2024,RELIANCE,2933.09,2936.87,2896.25,2918.98,9023775
10-11-2024,RELIANCE,2941.56,2986.45,2930.29,2952.75,7353702
11-11-2024,RELIANCE,2985.76,3023.09,2932.47,2977.37,1429653
12-11-2024,RELIANCE,3028.75,3086.84,2996.93,3007.63,2875277
13-11-2024,RELIANCE,2973.04,2978.65,2942.29,2955.22,4141670
14-11-2024,RELIANCE,2912.71,2964.83,2908.15,2945.61,1652460
15-11-2024,RELIANCE,2897.8,2915.64,2872.85,2905.69,1299134
16-11-2024,RELIANCE,2922.58,2966.97,2912.5,2934.83,1656087
17-11-2024,RELIANCE,2969.61,2970.79,2967.7,2967.83,2504671
18-11-2024,RELIANCE,2973.23,2987.56,2918.66,2979.02,2256727
19-11-2024,RELIANCE,2976.06,2999.11,2969.14,2995.22,4963010
20-11-2024,RELIANCE,2984.47,3014.93,2983.62,3014.62,5083164
21-11-2024,RELIANCE,3008.13,3013.25,2963.3,2973.39,7746613
22-11-2024,RELIANCE,3007.55,3026.69,2974.95,3023.69,1719400
23-11-2024,RELIANCE,3005.32,3057.23,2991.54,3030.95,4171587
24-11-2024,RELIANCE,3009.57,3063.7,2986.07,3046.79,6500843
25-11-2024,RELIANCE,3020,3065.72,2966.14,2998.02,9475887
26-11-2024,RELIANCE,3021.63,3044.24,3001.95,3012.64,6405326
27-11-2024,RELIANCE,3049.94,3057.92,3044.32,3049.63,9046570
28-11-2024,RELIANCE,3063.14,3095.51,3045.74,3082.68,1289586
29-11-2024,RELIANCE,3143.86,3193.26,3112.63,3165.61,1944033
30-11-2024,RELIANCE,3163.44,3164.78,3141.87,3144.04,1878607
01-12-2024,RELIANCE,3182.14,3226.49,3136.55,3169.91,2489857
02-12-2024,RELIANCE,3125.69,3184.89,3113.72,3164.98,4964676
03-12-2024,RELIANCE,3215.6,3215.92,3215,3215.36,7685920
04-12-2024,RELIANCE,3179.62,3209.08,3141.21,3194.73,2254647
05-12-2024,RELIANCE,3168.43,3170.95,3150.41,3152.39,1775733
06-12-2024,RELIANCE,3144.39,3163.43,3144.23,3156.57,9852824
07-12-2024,RELIANCE,3193.79,3238.43,3158.28,3215.72,3123652
08-12-2024,RELIANCE,3191.71,3197.24,3177.95,3184.66,6432305
09-12-2024,RELIANCE,3233.42,3285.18,3201.77,3263.08,9367800
10-12-2024,RELIANCE,3317.84,3354.91,3288.85,3319.39,6965485
11-12-2024,RELIANCE,3334.26,3370.68,3299.77,3325.11,5160420
12-12-2024,RELIANCE,3291.75,3295.93,3240.35,3290.83,3177938
13-12-2024,RELIANCE,3304.36,3328.22,3278.67,3303.34,3857881
14-12-2024,RELIANCE,3266.86,3323.55,3246.32,3298.53,4373856
15-12-2024,RELIANCE,3333.38,3344.32,3282.74,3317.89,1554965
16-12-2024,RELIANCE,3351.69,3418.41,3325.29,3332.13,7083547
17-12-2024,RELIANCE,3385.3,3450.59,3375.03,3400.51,9065797
18-12-2024,RELIANCE,3443.15,3446.85,3414.82,3437.73,3667692
19-12-2024,RELIANCE,3452.32,3467.92,3444.58,3454.52,6783045
20-12-2024,RELIANCE,3510.75,3513.49,3443.33,3478.1,8619034
21-12-2024,RELIANCE,3479.56,3533.34,3421.46,3524.31,6238551
22-12-2024,RELIANCE,3560.83,3598.21,3532.05,3562.58,1216570
23-12-2024,RELIANCE,3559.67,3624.79,3509.48,3623.7,4675835
24-12-2024,RELIANCE,3593.6,3618.33,3578.86,3605.54,5368107
25-12-2024,RELIANCE,3656.75,3713.49,3626.1,3704.24,3717690
26-12-2024,RELIANCE,3665.74,3733.71,3606.01,3630.56,8407001
27-12-2024,RELIANCE,3606.84,3657.72,3601.37,3634.73,3482466
28-12-2024,RELIANCE,3569.54,3609.31,3551.97,3581.71,5862847
29-12-2024,RELIANCE,3579.03,3640.54,3515.53,3595.27,6422558
